airline,from,to,day,month,year,duration,age,gender,reason,stay,transit,connection,wait,ticket,checked_bags,carry_on
Delta Airlines,JFK,LAX,25,12,2022,897,26,male,Business/Work,Home,Airport cab,False,0,Economy,0,False
Delta Airlines,JFK,GDL,12,3,2015,84,43,undisclosed,Back Home,Home,Airport cab,False,0,Economy,2,False
American Airlines,SJC,JFK,30,5,2020,298,56,female,Back Home,Home,Car rental,False,0,Business,1,False
American Airlines,LAX,PDX,9,9,2013,662,43,female,Back Home,Home,Mobility as a service,False,0,Economy,3,False
Aeromexico,GDL,PDX,22,5,2015,202,46,female,On vacation/Pleasure,Hotel,Car rental,False,0,Business,3,False
Delta Airlines,PDX,JFK,3,2,2015,666,35,unspecified,On vacation/Pleasure,Short-term homestay,Own car,False,0,First Class,1,True
Delta Airlines,JFK,PDX,20,10,2019,831,4,unspecified,Business/Work,Friend/Family,Airport cab,False,0,Economy,0,True
Aeromexico,JFK,LAX,28,5,2016,817,23,female,Back Home,Home,Public Transportation,False,0,Economy,2,True
Alaska,JFK,SJC,2,2,2014,285,20,female,Business/Work,Hotel,Pickup,False,0,First Class,1,False
Aeromexico,LAX,GDL,23,2,2018,700,72,undisclosed,Business/Work,Friend/Family,Mobility as a service,False,0,First Class,3,True
Delta Airlines,JFK,LAX,22,5,2019,225,82,male,Business/Work,Short-term homestay,,True,620,Business,0,True
Aeromexico,SJC,GDL,16,4,2015,237,54,male,On vacation/Pleasure,Hotel,,True,77,Economy,0,True
Volaris,LAX,SJC,3,7,2022,900,56,female,Back Home,Home,Mobility as a service,False,0,First Class,3,True
Delta Airlines,JFK,SJC,16,1,2020,849,76,female,Business/Work,Home,,True,122,First Class,1,False
Aeromexico,JFK,PDX,28,6,2015,347,15,male,Business/Work,Hotel,Mobility as a service,False,0,Economy,0,False
Aeromexico,LAX,PDX,18,2,2016,41,59,undisclosed,On vacation/Pleasure,Friend/Family,,True,583,Business,0,False
Aeromexico,GDL,LAX,22,1,2019,312,50,unspecified,Business/Work,Short-term homestay,Mobility as a service,False,0,First Class,0,False
Aeromexico,GDL,LAX,5,9,2022,983,68,unspecified,Business/Work,Hotel,Pickup,False,0,Economy,1,False
Delta Airlines,LAX,GDL,23,3,2014,844,16,male,Back Home,Home,Car rental,False,0,Economy,1,False
Delta Airlines,JFK,PDX,18,5,2013,658,53,female,Back Home,Home,Public Transportation,False,0,First Class,0,True
Aeromexico,GDL,JFK,15,5,2017,850,63,male,Business/Work,Home,,True,698,First Class,1,True
Volaris,LAX,GDL,16,6,2015,964,75,male,Back Home,Home,Own car,False,0,First Class,1,False
American Airlines,GDL,PDX,7,3,2018,989,33,unspecified,On vacation/Pleasure,Short-term homestay,,True,462,Economy,0,False
Delta Airlines,JFK,LAX,5,12,2014,743,76,female,Business/Work,Short-term homestay,Pickup,False,0,Business,2,True
Volaris,SJC,JFK,26,10,2016,137,60,unspecified,Business/Work,Home,Pickup,False,0,Economy,0,False
Volaris,SJC,PDX,9,2,2017,666,34,female,Business/Work,Friend/Family,,True,257,Business,1,False
Delta Airlines,GDL,PDX,6,9,2019,802,90,unspecified,On vacation/Pleasure,Hotel,Own car,False,0,First Class,0,True
Delta Airlines,LAX,JFK,23,2,2017,264,55,unspecified,Back Home,Home,Airport cab,False,0,Business,1,True
American Airlines,SJC,JFK,16,10,2022,192,29,undisclosed,Business/Work,Home,,True,625,First Class,0,True
Alaska,GDL,LAX,11,1,2014,392,84,undisclosed,Back Home,Home,Airport cab,False,0,Business,3,True
Alaska,SJC,PDX,29,10,2022,205,18,unspecified,Business/Work,Friend/Family,,True,231,First Class,3,True
Delta Airlines,GDL,SJC,15,3,2023,637,77,unspecified,On vacation/Pleasure,Hotel,Pickup,False,0,First Class,0,False
Delta Airlines,LAX,GDL,18,3,2023,262,89,female,Back Home,Home,Car rental,False,0,Business,0,True
Volaris,JFK,GDL,16,6,2019,298,73,unspecified,On vacation/Pleasure,Friend/Family,Car rental,False,0,Business,3,False
Volaris,GDL,JFK,22,2,2021,745,54,female,On vacation/Pleasure,Home,,True,75,Business,1,False
American Airlines,LAX,SJC,4,3,2018,644,50,female,On vacation/Pleasure,Friend/Family,Public Transportation,False,0,Business,3,True
Delta Airlines,LAX,PDX,7,10,2022,987,10,undisclosed,On vacation/Pleasure,Hotel,,True,275,Economy,0,False
Delta Airlines,SJC,GDL,8,11,2015,661,22,female,Back Home,Home,Public Transportation,False,0,Business,1,True
Alaska,GDL,LAX,28,3,2014,442,55,unspecified,Back Home,Home,Public Transportation,False,0,First Class,3,False
Aeromexico,SJC,LAX,6,7,2014,607,67,male,Business/Work,Hotel,Car rental,False,0,First Class,0,True
Aeromexico,PDX,GDL,24,12,2017,484,49,unspecified,Back Home,Home,Own car,False,0,Business,2,True
Alaska,PDX,SJC,6,8,2015,862,8,female,Back Home,Home,Public Transportation,False,0,Business,1,True
Alaska,GDL,JFK,17,9,2020,150,17,undisclosed,Back Home,Home,Car rental,False,0,First Class,3,False
Volaris,JFK,LAX,5,7,2020,920,62,male,Back Home,Home,Mobility as a service,False,0,First Class,3,True
Aeromexico,JFK,PDX,9,5,2013,931,40,male,On vacation/Pleasure,Hotel,,True,107,First Class,3,True
Alaska,JFK,LAX,15,8,2022,903,3,male,Back Home,Home,Mobility as a service,False,0,Business,1,False
American Airlines,SJC,JFK,5,2,2017,914,2,unspecified,Business/Work,Short-term homestay,Mobility as a service,False,0,Economy,0,True
Delta Airlines,SJC,JFK,3,4,2022,226,3,undisclosed,Business/Work,Hotel,Own car,False,0,Business,3,False
Aeromexico,PDX,SJC,5,9,2015,568,14,unspecified,Back Home,Home,Airport cab,False,0,Business,0,True
American Airlines,SJC,PDX,19,12,2014,285,89,female,Back Home,Home,Public Transportation,False,0,First Class,3,False
American Airlines,PDX,JFK,3,10,2014,124,19,female,Business/Work,Hotel,Airport cab,False,0,Business,0,True
Volaris,PDX,JFK,5,1,2018,833,46,male,Business/Work,Hotel,,True,140,Economy,3,False
Volaris,JFK,GDL,22,3,2023,889,75,undisclosed,Business/Work,Friend/Family,Pickup,False,0,First Class,1,True
Delta Airlines,PDX,LAX,4,5,2020,269,77,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,0,True
Volaris,GDL,JFK,5,2,2021,845,67,female,Back Home,Home,Mobility as a service,False,0,First Class,0,True
American Airlines,GDL,JFK,21,6,2015,876,70,unspecified,Back Home,Home,Pickup,False,0,Business,1,True
American Airlines,JFK,LAX,6,8,2018,549,33,unspecified,Back Home,Home,Airport cab,False,0,Business,1,False
Aeromexico,LAX,GDL,11,6,2017,340,3,male,On vacation/Pleasure,Short-term homestay,,True,311,First Class,3,False
Delta Airlines,PDX,JFK,1,7,2018,98,37,male,Back Home,Home,Own car,False,0,Business,3,True
Delta Airlines,PDX,SJC,23,8,2020,732,36,unspecified,Back Home,Home,Car rental,False,0,First Class,2,True
Alaska,GDL,JFK,27,10,2018,591,88,undisclosed,On vacation/Pleasure,Home,,True,671,First Class,2,True
Aeromexico,GDL,LAX,21,9,2017,174,87,undisclosed,Business/Work,Friend/Family,Airport cab,False,0,First Class,1,True
Delta Airlines,SJC,PDX,18,3,2015,115,85,undisclosed,Back Home,Home,Mobility as a service,False,0,First Class,3,True
Delta Airlines,LAX,SJC,11,11,2020,118,84,unspecified,On vacation/Pleasure,Hotel,,True,266,Economy,0,False
Delta Airlines,LAX,GDL,2,7,2022,583,11,unspecified,Business/Work,Friend/Family,Pickup,False,0,First Class,1,True
Aeromexico,JFK,LAX,2,4,2019,511,34,male,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0,Business,3,True
Alaska,JFK,LAX,12,6,2017,564,13,male,Back Home,Home,Own car,False,0,Economy,1,False
Volaris,GDL,SJC,2,6,2016,523,46,unspecified,Back Home,Home,Public Transportation,False,0,Economy,0,True
Aeromexico,SJC,PDX,21,10,2022,915,77,female,On vacation/Pleasure,Home,,True,522,Business,0,False
Delta Airlines,GDL,SJC,18,10,2014,665,14,undisclosed,Business/Work,Short-term homestay,Public Transportation,False,0,Economy,0,False
Alaska,PDX,GDL,25,7,2019,227,70,unspecified,Business/Work,Hotel,Car rental,False,0,First Class,0,True
Delta Airlines,JFK,GDL,6,2,2017,129,84,male,Business/Work,Home,Pickup,False,0,Business,2,False
Delta Airlines,JFK,SJC,23,1,2014,647,45,unspecified,Back Home,Home,Car rental,False,0,Business,3,True
Delta Airlines,PDX,GDL,13,8,2016,689,76,unspecified,Back Home,Home,Mobility as a service,False,0,First Class,0,False
Aeromexico,JFK,GDL,20,12,2021,823,6,unspecified,Back Home,Home,Mobility as a service,False,0,First Class,0,False
Delta Airlines,SJC,JFK,11,8,2019,502,90,unspecified,On vacation/Pleasure,Short-term homestay,,True,247,Business,1,True
Delta Airlines,SJC,LAX,1,7,2021,938,3,male,Back Home,Home,Car rental,False,0,First Class,1,True
Alaska,GDL,PDX,31,8,2020,849,53,male,On vacation/Pleasure,Friend/Family,,True,564,First Class,2,False
Volaris,GDL,PDX,10,6,2016,580,68,male,On vacation/Pleasure,Hotel,,True,254,Economy,1,True
Alaska,PDX,LAX,4,5,2020,926,38,female,Back Home,Home,Car rental,False,0,Business,2,False
Delta Airlines,JFK,LAX,5,5,2014,79,59,unspecified,Business/Work,Hotel,,True,31,Economy,1,False
American Airlines,JFK,PDX,1,6,2016,601,58,female,On vacation/Pleasure,Hotel,,True,555,Economy,1,True
Alaska,JFK,PDX,3,1,2016,138,76,male,Back Home,Home,Own car,False,0,Business,1,True
Aeromexico,GDL,LAX,18,6,2019,325,13,female,On vacation/Pleasure,Home,Public Transportation,False,0,Economy,3,False
Aeromexico,JFK,LAX,11,2,2014,626,18,unspecified,Business/Work,Hotel,,True,582,Business,3,True
Alaska,SJC,GDL,16,2,2017,684,24,undisclosed,On vacation/Pleasure,Home,,True,582,Business,1,False
Delta Airlines,GDL,JFK,8,12,2015,629,56,unspecified,On vacation/Pleasure,Home,,True,269,Business,3,True
Alaska,LAX,PDX,28,5,2018,943,62,female,Business/Work,Home,,True,369,Economy,3,False
Alaska,JFK,LAX,22,12,2015,486,58,female,On vacation/Pleasure,Friend/Family,Pickup,False,0,Business,2,False
Aeromexico,LAX,SJC,12,10,2020,502,69,female,Back Home,Home,Public Transportation,False,0,Economy,0,False
Volaris,GDL,SJC,4,5,2017,301,74,female,Business/Work,Short-term homestay,,True,360,Economy,0,True
Aeromexico,GDL,SJC,31,10,2021,982,77,male,Business/Work,Hotel,Airport cab,False,0,Economy,1,True
Delta Airlines,GDL,SJC,25,12,2018,499,90,unspecified,Business/Work,Hotel,,True,233,Business,3,False
Volaris,PDX,SJC,22,6,2017,47,73,male,On vacation/Pleasure,Short-term homestay,,True,282,First Class,2,True
Delta Airlines,PDX,JFK,14,6,2022,768,33,male,On vacation/Pleasure,Home,,True,283,Business,3,False
Aeromexico,SJC,PDX,2,11,2016,68,59,female,Business/Work,Home,Car rental,False,0,Business,1,True
Delta Airlines,PDX,LAX,23,9,2017,624,65,undisclosed,Business/Work,Short-term homestay,Mobility as a service,False,0,First Class,3,True
Alaska,LAX,PDX,2,2,2023,1000,87,male,Business/Work,Short-term homestay,Airport cab,False,0,Business,1,True
Aeromexico,GDL,LAX,22,8,2019,173,50,undisclosed,Business/Work,Friend/Family,,True,390,Business,0,False
American Airlines,PDX,GDL,11,12,2014,485,10,unspecified,Business/Work,Short-term homestay,,True,162,Business,0,True
Volaris,LAX,PDX,20,9,2022,819,40,unspecified,On vacation/Pleasure,Hotel,,True,421,Business,2,True
Alaska,JFK,GDL,4,1,2017,744,26,male,Back Home,Home,Car rental,False,0,First Class,3,True
Delta Airlines,GDL,PDX,3,6,2017,181,30,male,Business/Work,Friend/Family,,True,131,First Class,0,False
Aeromexico,SJC,JFK,2,6,2017,310,6,undisclosed,Business/Work,Short-term homestay,Public Transportation,False,0,Economy,1,False
American Airlines,GDL,LAX,7,9,2013,827,30,female,Business/Work,Short-term homestay,Car rental,False,0,Business,1,False
Delta Airlines,SJC,GDL,11,10,2016,69,15,undisclosed,On vacation/Pleasure,Friend/Family,Airport cab,False,0,First Class,3,True
Aeromexico,PDX,LAX,25,7,2022,178,52,female,On vacation/Pleasure,Short-term homestay,,True,691,Economy,2,True
Delta Airlines,GDL,JFK,19,2,2015,115,86,unspecified,Business/Work,Home,Car rental,False,0,Business,1,False
Alaska,SJC,JFK,7,8,2019,571,22,male,Back Home,Home,Public Transportation,False,0,Business,1,True
Delta Airlines,GDL,LAX,21,1,2018,893,41,undisclosed,Back Home,Home,Public Transportation,False,0,Business,3,True
Alaska,JFK,PDX,16,7,2019,251,53,male,On vacation/Pleasure,Home,,True,56,Economy,1,False
American Airlines,PDX,JFK,28,10,2021,720,80,unspecified,On vacation/Pleasure,Hotel,,True,446,First Class,2,False
Volaris,JFK,LAX,1,2,2013,591,26,unspecified,Business/Work,Home,,True,195,Business,2,True
Alaska,JFK,GDL,18,11,2022,860,59,female,On vacation/Pleasure,Short-term homestay,,True,157,Business,0,False
Alaska,GDL,JFK,1,4,2017,258,14,undisclosed,Back Home,Home,Car rental,False,0,First Class,0,False
Aeromexico,SJC,GDL,21,9,2022,143,65,undisclosed,Business/Work,Friend/Family,,True,410,Business,3,False
Aeromexico,PDX,GDL,23,5,2021,653,68,unspecified,On vacation/Pleasure,Hotel,,True,551,Business,1,True
American Airlines,JFK,GDL,27,1,2013,118,69,female,Business/Work,Hotel,Pickup,False,0,Economy,3,False
American Airlines,JFK,PDX,9,3,2016,317,88,male,Back Home,Home,Own car,False,0,First Class,1,False
American Airlines,JFK,LAX,15,9,2022,329,21,unspecified,Back Home,Home,Pickup,False,0,Economy,3,True
Volaris,PDX,GDL,21,6,2021,601,50,unspecified,On vacation/Pleasure,Short-term homestay,,True,497,First Class,0,False
Aeromexico,JFK,PDX,18,1,2018,705,37,undisclosed,Business/Work,Home,Car rental,False,0,First Class,2,False
Aeromexico,LAX,SJC,15,6,2018,286,86,female,On vacation/Pleasure,Short-term homestay,Car rental,False,0,Business,0,False
American Airlines,PDX,LAX,30,8,2015,920,41,male,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0,First Class,3,False
Volaris,PDX,SJC,26,3,2020,745,35,female,Back Home,Home,Airport cab,False,0,First Class,2,False
Aeromexico,SJC,LAX,17,4,2018,803,11,unspecified,Back Home,Home,Airport cab,False,0,Business,0,False
Delta Airlines,PDX,LAX,2,6,2021,92,30,female,On vacation/Pleasure,Short-term homestay,,True,293,First Class,0,True
Alaska,SJC,GDL,16,3,2021,255,10,male,Back Home,Home,Mobility as a service,False,0,Business,0,True
Alaska,SJC,LAX,26,7,2013,855,61,female,On vacation/Pleasure,Home,,True,573,Business,2,True
Volaris,GDL,LAX,31,5,2014,355,22,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,First Class,2,True
Alaska,JFK,SJC,28,1,2023,935,2,male,On vacation/Pleasure,Home,,True,101,First Class,1,True
Volaris,SJC,LAX,22,5,2020,950,6,unspecified,Back Home,Home,Pickup,False,0,Business,3,False
Aeromexico,LAX,GDL,12,1,2016,504,78,female,Business/Work,Friend/Family,Own car,False,0,Economy,0,False
Volaris,JFK,SJC,13,3,2022,864,35,female,Back Home,Home,Own car,False,0,Business,3,False
American Airlines,GDL,LAX,13,10,2018,274,60,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0,Economy,0,False
Delta Airlines,SJC,PDX,7,10,2021,848,86,undisclosed,Back Home,Home,Mobility as a service,False,0,Economy,1,True
American Airlines,LAX,PDX,17,9,2017,900,51,male,Business/Work,Friend/Family,Pickup,False,0,Business,3,False
American Airlines,LAX,GDL,30,7,2019,172,4,unspecified,On vacation/Pleasure,Friend/Family,,True,215,Economy,0,True
American Airlines,LAX,SJC,30,4,2021,513,37,female,On vacation/Pleasure,Home,Car rental,False,0,First Class,1,True
Volaris,GDL,SJC,24,11,2015,309,31,male,On vacation/Pleasure,Friend/Family,,True,611,Economy,0,True
Alaska,GDL,SJC,30,8,2017,164,81,male,Business/Work,Friend/Family,Own car,False,0,Business,0,True
Alaska,GDL,SJC,16,5,2015,239,87,unspecified,Business/Work,Home,,True,536,First Class,1,True
Alaska,JFK,LAX,12,7,2020,976,21,unspecified,Back Home,Home,Mobility as a service,False,0,Economy,0,True
American Airlines,PDX,SJC,15,6,2017,602,36,unspecified,Back Home,Home,Pickup,False,0,Business,0,False
Delta Airlines,JFK,PDX,27,1,2019,186,23,male,On vacation/Pleasure,Hotel,Airport cab,False,0,Business,0,False
Delta Airlines,JFK,LAX,22,4,2014,729,9,unspecified,Back Home,Home,Car rental,False,0,Economy,3,True
Delta Airlines,GDL,JFK,28,6,2022,59,90,female,Business/Work,Hotel,Public Transportation,False,0,First Class,3,False
Delta Airlines,LAX,GDL,10,4,2023,626,10,unspecified,On vacation/Pleasure,Home,,True,597,Economy,2,False
American Airlines,GDL,LAX,15,7,2022,165,35,male,On vacation/Pleasure,Short-term homestay,Airport cab,False,0,First Class,3,True
Volaris,PDX,GDL,2,4,2021,684,37,undisclosed,Back Home,Home,Airport cab,False,0,Business,3,True
Delta Airlines,LAX,JFK,26,6,2013,119,3,undisclosed,Back Home,Home,Car rental,False,0,Economy,0,True
Aeromexico,JFK,LAX,28,10,2013,248,1,female,Business/Work,Hotel,Pickup,False,0,Economy,2,False
American Airlines,SJC,GDL,30,9,2016,733,26,male,Back Home,Home,Airport cab,False,0,Economy,0,False
Volaris,GDL,SJC,23,4,2020,539,30,undisclosed,Business/Work,Friend/Family,Car rental,False,0,Economy,1,False
American Airlines,GDL,PDX,8,6,2014,158,40,undisclosed,Back Home,Home,Pickup,False,0,First Class,0,False
Alaska,GDL,JFK,19,3,2021,160,24,undisclosed,On vacation/Pleasure,Short-term homestay,Mobility as a service,False,0,First Class,0,True
American Airlines,GDL,JFK,18,4,2014,591,24,undisclosed,Back Home,Home,Pickup,False,0,Economy,1,True
Alaska,SJC,GDL,4,8,2013,755,57,unspecified,Back Home,Home,Pickup,False,0,Business,3,True
Alaska,PDX,JFK,22,9,2021,781,7,unspecified,On vacation/Pleasure,Short-term homestay,,True,261,Business,2,False
American Airlines,SJC,LAX,31,3,2020,559,41,female,On vacation/Pleasure,Home,,True,239,First Class,1,False
Alaska,GDL,LAX,12,8,2014,855,67,unspecified,On vacation/Pleasure,Hotel,Public Transportation,False,0,First Class,2,True
Delta Airlines,SJC,GDL,8,7,2013,78,33,unspecified,Back Home,Home,Own car,False,0,Economy,1,True
Aeromexico,SJC,PDX,5,11,2013,882,31,female,On vacation/Pleasure,Friend/Family,,True,512,First Class,0,True
Delta Airlines,GDL,JFK,6,6,2016,997,56,unspecified,Business/Work,Friend/Family,Pickup,False,0,Economy,1,False
American Airlines,JFK,LAX,28,11,2017,665,16,male,Back Home,Home,Car rental,False,0,Economy,1,False
Alaska,JFK,LAX,5,4,2014,210,16,unspecified,Business/Work,Short-term homestay,,True,416,Business,3,False
Delta Airlines,LAX,SJC,24,4,2020,788,4,male,Back Home,Home,Mobility as a service,False,0,Business,3,False
Delta Airlines,LAX,PDX,4,9,2013,475,28,female,Back Home,Home,Pickup,False,0,Economy,0,True
Delta Airlines,JFK,GDL,22,9,2015,620,1,undisclosed,Back Home,Home,Own car,False,0,Business,1,True
American Airlines,SJC,LAX,25,3,2014,777,18,undisclosed,On vacation/Pleasure,Friend/Family,,True,468,Economy,1,False
Delta Airlines,GDL,SJC,15,2,2017,582,24,male,Back Home,Home,Airport cab,False,0,Economy,1,False
American Airlines,SJC,JFK,9,4,2016,137,75,female,On vacation/Pleasure,Friend/Family,Pickup,False,0,First Class,2,False
Aeromexico,JFK,LAX,9,3,2023,111,75,unspecified,On vacation/Pleasure,Friend/Family,Own car,False,0,Economy,3,True
Volaris,PDX,GDL,22,12,2014,375,62,male,Business/Work,Hotel,Car rental,False,0,Business,2,False
American Airlines,JFK,LAX,8,8,2021,99,82,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0,Economy,2,True
Volaris,JFK,PDX,4,8,2015,842,82,undisclosed,On vacation/Pleasure,Friend/Family,,True,675,First Class,3,False
Delta Airlines,GDL,LAX,1,4,2021,443,68,female,Business/Work,Hotel,Public Transportation,False,0,Economy,1,False
Volaris,LAX,GDL,7,6,2014,749,86,female,Back Home,Home,Own car,False,0,Economy,1,True
American Airlines,LAX,JFK,7,3,2013,386,69,female,On vacation/Pleasure,Friend/Family,,True,700,Economy,2,False
Aeromexico,JFK,LAX,29,8,2015,267,71,unspecified,Business/Work,Hotel,Public Transportation,False,0,Economy,3,True
Aeromexico,SJC,LAX,26,2,2021,652,12,male,Back Home,Home,Own car,False,0,Economy,2,True
American Airlines,JFK,PDX,24,1,2018,852,57,female,Back Home,Home,Pickup,False,0,Economy,3,False
Aeromexico,JFK,SJC,23,12,2022,836,30,female,Back Home,Home,Airport cab,False,0,Business,3,False
American Airlines,LAX,JFK,15,4,2022,64,23,female,Business/Work,Friend/Family,,True,706,Economy,3,False
Alaska,SJC,GDL,1,5,2014,801,17,female,Business/Work,Home,,True,577,Business,1,False
American Airlines,JFK,LAX,19,2,2020,559,23,undisclosed,Back Home,Home,Public Transportation,False,0,Business,1,True
American Airlines,LAX,PDX,8,12,2021,702,34,male,On vacation/Pleasure,Short-term homestay,Public Transportation,False,0,Business,2,True
Delta Airlines,GDL,JFK,7,3,2017,569,22,female,Back Home,Home,Own car,False,0,Economy,3,True
Aeromexico,PDX,LAX,18,3,2023,334,18,undisclosed,Business/Work,Short-term homestay,,True,432,Economy,1,False
Alaska,PDX,JFK,18,10,2019,695,22,female,On vacation/Pleasure,Hotel,Pickup,False,0,First Class,1,True
Delta Airlines,GDL,LAX,25,4,2021,853,78,female,Back Home,Home,Mobility as a service,False,0,Business,1,False
Alaska,LAX,PDX,10,12,2016,688,15,male,On vacation/Pleasure,Friend/Family,,True,229,Economy,1,False
Alaska,PDX,LAX,22,7,2022,643,49,male,On vacation/Pleasure,Friend/Family,Own car,False,0,Economy,1,True
Delta Airlines,LAX,PDX,10,10,2015,806,7,undisclosed,On vacation/Pleasure,Home,Pickup,False,0,Business,3,False
Volaris,PDX,JFK,26,11,2013,484,6,undisclosed,Business/Work,Hotel,,True,407,Business,1,False
American Airlines,JFK,LAX,8,8,2019,333,37,undisclosed,Business/Work,Home,,True,682,Business,1,True
Aeromexico,JFK,PDX,2,4,2021,518,53,female,Business/Work,Hotel,,True,187,Economy,3,True
American Airlines,JFK,PDX,6,11,2016,441,53,undisclosed,Back Home,Home,Public Transportation,False,0,Economy,1,True
Alaska,JFK,PDX,15,4,2023,161,37,male,On vacation/Pleasure,Friend/Family,Car rental,False,0,Economy,1,False
American Airlines,GDL,JFK,11,2,2021,310,28,undisclosed,Back Home,Home,Mobility as a service,False,0,Business,2,True
Alaska,PDX,SJC,9,11,2021,784,78,female,On vacation/Pleasure,Short-term homestay,Pickup,False,0,First Class,2,True
Volaris,LAX,SJC,20,12,2016,366,44,unspecified,Business/Work,Friend/Family,,True,673,Business,3,True
Aeromexico,PDX,LAX,6,2,2021,988,34,female,On vacation/Pleasure,Hotel,,True,462,First Class,1,True
Volaris,LAX,JFK,20,1,2023,185,84,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0,First Class,2,True
Alaska,GDL,LAX,27,6,2019,508,55,unspecified,Back Home,Home,Car rental,False,0,Business,0,False
Aeromexico,SJC,JFK,20,4,2021,89,41,female,Back Home,Home,Mobility as a service,False,0,Economy,3,False
Volaris,LAX,SJC,22,3,2015,943,16,unspecified,Back Home,Home,Own car,False,0,First Class,2,True
American Airlines,SJC,LAX,21,2,2018,839,9,male,On vacation/Pleasure,Home,,True,642,First Class,3,False
Volaris,LAX,GDL,1,2,2014,391,39,unspecified,Back Home,Home,Public Transportation,False,0,Economy,2,True
Volaris,LAX,PDX,18,3,2015,739,15,unspecified,Back Home,Home,Pickup,False,0,Economy,2,False
Volaris,GDL,JFK,21,1,2019,844,68,unspecified,On vacation/Pleasure,Hotel,Car rental,False,0,Business,0,False
Alaska,LAX,PDX,31,3,2019,713,45,female,Back Home,Home,Pickup,False,0,Business,1,True
Delta Airlines,LAX,SJC,13,11,2017,631,66,male,Back Home,Home,Airport cab,False,0,Business,2,True
Aeromexico,PDX,GDL,1,5,2014,171,12,male,On vacation/Pleasure,Hotel,,True,517,First Class,1,False
Aeromexico,JFK,SJC,1,8,2022,299,21,unspecified,On vacation/Pleasure,Home,,True,695,First Class,1,False
Delta Airlines,JFK,PDX,1,4,2017,227,86,undisclosed,Back Home,Home,Mobility as a service,False,0,Business,3,False
Alaska,SJC,LAX,18,9,2019,299,61,undisclosed,Business/Work,Hotel,,True,355,Business,3,False
Alaska,GDL,SJC,11,7,2020,884,3,undisclosed,On vacation/Pleasure,Short-term homestay,,True,160,Business,3,True
Volaris,PDX,SJC,14,2,2022,514,19,male,On vacation/Pleasure,Short-term homestay,,True,297,First Class,2,True
Delta Airlines,GDL,JFK,28,2,2014,99,16,undisclosed,Business/Work,Hotel,,True,652,Business,0,False
Alaska,GDL,JFK,23,7,2022,74,27,female,Back Home,Home,Airport cab,False,0,Economy,0,False
Volaris,PDX,LAX,28,2,2014,650,1,female,On vacation/Pleasure,Short-term homestay,,True,469,Business,3,False
American Airlines,GDL,LAX,13,9,2022,375,62,male,Back Home,Home,Own car,False,0,Economy,1,False
Alaska,SJC,LAX,14,4,2013,733,4,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0,Economy,2,True
Aeromexico,LAX,GDL,22,5,2015,943,6,male,Business/Work,Friend/Family,,True,586,Business,1,True
Alaska,GDL,PDX,25,10,2015,159,57,male,Back Home,Home,Pickup,False,0,Economy,3,True
Volaris,GDL,PDX,3,11,2017,293,32,female,Back Home,Home,Mobility as a service,False,0,First Class,1,False
Delta Airlines,LAX,JFK,6,3,2019,197,19,female,Business/Work,Home,,True,616,Economy,1,True
Volaris,PDX,LAX,1,7,2016,744,15,female,Back Home,Home,Own car,False,0,Business,1,True
American Airlines,JFK,PDX,29,7,2013,352,49,female,Back Home,Home,Public Transportation,False,0,Business,2,False
Delta Airlines,JFK,SJC,1,11,2020,818,80,undisclosed,Back Home,Home,Mobility as a service,False,0,Economy,2,True
Delta Airlines,PDX,JFK,5,1,2022,977,83,male,Back Home,Home,Car rental,False,0,Economy,2,False
Volaris,GDL,LAX,22,8,2019,124,38,male,On vacation/Pleasure,Hotel,,True,467,Business,2,True
Aeromexico,GDL,PDX,19,12,2016,728,27,male,Business/Work,Hotel,Mobility as a service,False,0,Business,2,False
Volaris,JFK,PDX,25,7,2014,613,20,unspecified,On vacation/Pleasure,Home,Pickup,False,0,Economy,1,False
Alaska,SJC,GDL,26,2,2016,826,2,undisclosed,On vacation/Pleasure,Home,Mobility as a service,False,0,Economy,3,True
Alaska,PDX,GDL,16,9,2013,706,24,female,Business/Work,Friend/Family,Public Transportation,False,0,Economy,2,False
Delta Airlines,SJC,LAX,16,1,2017,223,90,female,Business/Work,Friend/Family,Airport cab,False,0,Business,1,False
Volaris,GDL,SJC,9,3,2013,842,49,undisclosed,Business/Work,Friend/Family,Public Transportation,False,0,Business,3,True
Alaska,SJC,PDX,15,6,2022,505,35,unspecified,Business/Work,Friend/Family,Public Transportation,False,0,Business,2,True
Volaris,GDL,JFK,26,9,2018,511,13,unspecified,Business/Work,Home,,True,239,First Class,3,True
Alaska,GDL,PDX,5,4,2020,873,57,male,Business/Work,Short-term homestay,,True,363,First Class,3,False
Delta Airlines,SJC,JFK,19,6,2017,105,69,unspecified,On vacation/Pleasure,Home,Airport cab,False,0,Economy,1,True
Aeromexico,PDX,GDL,28,11,2017,345,26,undisclosed,On vacation/Pleasure,Short-term homestay,,True,635,Economy,2,False
